experiment,dataset,protocol,n_units,arm,metric,value,vs,delta,wins,p,verdict,source,reproduce
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,Structured rhythm,balanced acc,0.5425,,,,,,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,Raw skip only,balanced acc,0.5345,,,,,beats both encoders with no training at all,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,DSSL (frozen),balanced acc,0.5307,Random-init,0.0,49/96,0.92,no separation,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,Random-init,balanced acc,0.5307,,,,,,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,Supervised (end-to-end),balanced acc,0.5244,,,,,,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,SSL -> fine-tuned,balanced acc,0.5225,Supervised (end-to-end),-0.0019,,,pretraining does not help under fine-tuning either,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,Handcrafted (mean/std),balanced acc,0.5109,,,,,,runs 2240054-57,
GLOBEM ladder,GLOBEM,"LODO, 4 folds x 24 seeds, window unit",96,SSL -> frozen + head,balanced acc,0.5056,,,,,,runs 2240054-57,
published benchmark,GLOBEM,"leave-one-dataset-out, window unit",,Reorder (Xu et al.),balanced acc,0.547,,,,,the number to beat; +/- 0.008,GLOBEM paper,
published benchmark,GLOBEM,cross-dataset,,Chikersal et al.,balanced acc,0.536,,,,,+/- 0.002,GLOBEM paper,
published benchmark,GLOBEM,-,,majority class,balanced acc,0.5,,,,,,GLOBEM paper,
readout interaction,GLOBEM,4 folds x 24 seeds,96,DSSL minus Random-init at the shipped readout,AUROC delta,0.0041,,,,,,runs 2240054-57,python readout_interaction.py --aggregate results_globem/<run>
readout interaction,GLOBEM,4 folds x 24 seeds,96,DSSL minus Random-init at the best readout,AUROC delta,0.0069,shipped readout,0.0028,,,REJECT in all 4 folds; the gate was 0.02,runs 2240054-57,
seg2 readout,GLOBEM,"4 folds x 24 seeds, paired per variant",96,"DSSL (frozen), pool=seg2",AUROC,,pool=mean,-0.0092,33/96,0.0029,REJECTED under the ladder's own probe,runs 2240054-57,python scripts/compare_readouts.py rq3_utility_meanpool.csv
seg2 readout,GLOBEM,"4 folds x 24 seeds, paired per variant",96,"Random-init, pool=seg2",AUROC,,pool=mean,-0.0098,34/96,0.0056,REJECTED,runs 2240054-57,
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,Raw skip only,AUROC,0.7345,,,,,PRELIMINARY -- one partition,kfold_eval.json,python kfold_eval.py --npz hrd_2224103.npz
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,rhythm + raw skip,AUROC,0.734,Raw skip only,-0.0005,,,"PRELIMINARY -- the combination adds nothing on HRD, unlike GLOBEM",kfold_eval.json,
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,Random-init + rhythm + raw skip,AUROC,0.7067,rhythm + raw skip,-0.0273,,,PRELIMINARY -- the encoder output hurts,kfold_eval.json,
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,Random-init,AUROC,0.6867,,,,,PRELIMINARY,kfold_eval.json,
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,Structured rhythm,AUROC,0.6453,,,,,PRELIMINARY,kfold_eval.json,
k-fold ladder,HRD,"5-fold, every labelled participant, 1 partition",152,Handcrafted (mean/std),AUROC,0.4754,,,,,PRELIMINARY -- below chance,kfold_eval.json,
required margin,HRD,"24 seeds, holdout, Nadeau-Bengio corrected",24,decisive win threshold,AUROC delta,0.1,,,,,"set by 36 test participants and rho=0.46, not by any model",session,
required margin,GLOBEM,"LODO, 4 folds x 24 seeds",96,decisive win threshold,balanced acc delta,0.048,,,,,current best contrast is 0.0071,session,
